,id,taskId,task,unitId,unit,unitPlural,ratio,action,elementId,stage,stageId,cssElementId,cssElement,type,otherStage,displayName,roomArea,tradeId,quantity,hour,Hourly Labour Cost (£),Labour Cost (£/unit),Labour Total Cost,Material Total Cost,Material Markup,Labour Profit,Material Contingency,Subtotal,Overall Contingency,Total Task Cost
0,1,5474,Triple joist,2,m,m,,,1659,Steel and structural supports,474,,,COMMON,1,Supply & Install Triple joist,[],152.0,0.65,0.65,26.25,17.0625,11.090625,0,0,3.3271875,0,14.4178125,0.720890625,15.138703125
1,2,5488,Mist coat and top coat to ceiling,4,m2,m2,,,1677,Decoration,486,14.0,E2 - Ceilings,COMMON,1,Supply & Install Mist coat and top coat to ceiling,"[""ceiling""]",158.0,0.5,0.5,23.125,11.5625,5.78125,0,0,1.734375,0,7.515625,0.37578125,7.89140625
2,3,5489,Mist coat and top coat of paint to walls,4,m2,m2,,,1678,Decoration,486,15.0,E3 - Walls and Partitions,COMMON,1,Supply & Install Mist coat and top coat of paint to walls,"[""wall""]",158.0,0.5,0.5,23.125,11.5625,5.78125,0,0,1.734375,0,7.515625,0.37578125,7.89140625
3,4,5493,Single coat of paint to ceiling,4,m2,m2,,,1677,Decoration,486,14.0,E2 - Ceilings,COMMON,1,Supply & Install Single coat of paint to ceiling,"[""ceiling""]",158.0,0.25,0.25,23.125,5.78125,1.4453125,0,0,0.43359375,0,1.87890625,0.0939453125,1.9728515625
4,5,5652,Re-pointing to walls,4,m2,m2,,,1814,External wall structure and lining,489,7.0,D4 - Main Walls,COMMON,1,Supply & Install Re-pointing to walls,"[""wall""]",,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
5,6,5679,150mm ready mix concrete slab,4,m2,m2,,,1648,Foundations and substructure,478,16.0,E4 - Floors,COMMON,1,Supply & Install 150mm ready mix concrete slab,"[""floor""]",148.0,0.33,0.33,23.125,7.631250000000001,2.5183125,0,0,0.75549375,0,3.27380625,0.1636903125,3.4374965625
6,7,5718,Wet underfloor heating per m2,4,m2,m2,,,1949,Heating and cooling,490,25.0,F4 - Heating,COMMON,1,Supply & Install Wet underfloor heating per m2,"[""floor""]",150.0,1.0,1.0,26.25,26.25,26.25,0,0,7.875,0,34.125,1.70625,35.83125
7,8,5735,Pendant light,7,nr,nr,,,1723,Wired appliances,479,22.0,F1 - Electricity,COMMON,1,Supply & Install Pendant light,[],,,,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0
8,9,5778,"Strip out shower tray, mixer and head",7,nr,nr,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,"Strip out shower tray, mixer and head",[],150.0,1.5,1.5,26.25,39.375,59.0625,0,0,17.71875,0,76.78125,3.8390625,80.6203125
9,10,5803,Strip out staircase and balustrade; timber,1,nr,nr,,,1967,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out staircase and balustrade; timber,[],149.0,10.0,10.0,23.125,231.25,2312.5,0,0,693.75,0,3006.25,150.3125,3156.5625
10,11,5804,Timber fence / timber fencing (excl. fence posts and footings),30,m,m,,,1960,External works,493,31.0,G3 - Other,COMMON,1,Supply & Install Timber fence / timber fencing (excl. fence posts and footings),[],149.0,2.0,2.0,23.125,46.25,92.5,0,0,27.75,0,120.25,6.0125,126.2625
11,12,5808,Strip out carpet and underlay to floor,4,m2,m2,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out carpet and underlay to floor,"[""floor""]",156.0,0.75,0.75,18.875,14.15625,10.6171875,0,0,3.18515625,0,13.80234375,0.6901171875000001,14.4924609375
12,13,5813,Strip out plasterboard lining and plaster to ceiling,4,m2,m2,,,1966,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out plasterboard lining and plaster to ceiling,"[""ceiling""]",156.0,0.6,0.6,18.875,11.325,6.794999999999999,0,0,2.0385,0,8.833499999999999,0.441675,9.275174999999999
13,14,5815,Strip out shower room,1,nr,nr,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out shower room,[],156.0,14.0,14.0,18.875,264.25,3699.5,0,0,1109.85,0,4809.35,240.4675,5049.8175
14,15,5842,"Strip out manhole, fill in and level ground",1,nr,nr,,,1967,Demolitions,482,21.0,E9 - Other,COMMON,1,"Strip out manhole, fill in and level ground",[],149.0,11.7,11.7,23.125,270.5625,3165.58125,0,0,949.674375,0,4115.255625,205.76278125,4321.018406249999
15,16,5877,Strip out water tank,7,nr,nr,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out water tank,[],150.0,2.5,2.5,26.25,65.625,164.0625,0,0,49.21875,0,213.28125,10.6640625,223.9453125
16,17,5899,Strip out roof coverings,4,m2,m2,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out roof coverings,[],156.0,0.5,0.5,18.875,9.4375,4.71875,0,0,1.415625,0,6.134375,0.30671875,6.44109375
17,18,5902,Strip out PVC-u bath,7,nr,nr,,,1682,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out PVC-u bath,[],150.0,0.85,0.85,26.25,22.3125,18.965625,0,0,5.6896875,0,24.6553125,1.232765625,25.888078125
18,19,5945,Strip out conservatory / demolish conservatory,4,m2,m2,,,1966,Demolitions,482,21.0,E9 - Other,COMMON,1,Strip out conservatory / demolish conservatory,[],156.0,3.0,3.0,18.875,56.625,169.875,0,0,50.9625,0,220.8375,11.041875,231.879375
